Vector Size (2^28),Iteration,C Timing (s),Assembly Timing (s)
268435456,1,0.470000,0.581000
,2,0.543000,0.387000
,3,0.381000,0.386000
,4,0.492000,0.383000
,5,0.427000,0.382000
,6,0.494000,0.384000
,7,0.429000,0.381000
,8,0.360000,0.380000
,9,0.360000,0.382000
,10,0.361000,0.381000
,11,0.370000,0.381000
,12,0.377000,0.382000
,13,0.362000,0.382000
,14,0.379000,0.383000
,15,0.358000,0.382000
,16,0.367000,0.388000
,17,0.359000,0.383000
,18,0.358000,0.389000
,19,0.363000,0.383000
,20,0.362000,0.380000
,21,0.360000,0.381000
,22,0.362000,0.382000
,23,0.357000,0.380000
,24,0.360000,0.382000
,25,0.370000,0.381000
,26,0.360000,0.382000
,27,0.360000,0.383000
,28,0.359000,0.381000
,29,0.359000,0.390000
,30,0.360000,0.382000
,31,0.359000,0.382000
,32,0.358000,0.381000
,33,0.359000,0.383000
,34,0.358000,0.382000
,35,0.359000,0.386000
,36,0.360000,0.381000
,37,0.357000,0.381000
,38,0.361000,0.381000
,39,0.369000,0.381000
,40,0.357000,0.382000
,41,0.360000,0.385000
,42,0.360000,0.389000
,43,0.358000,0.382000
,44,0.359000,0.380000
,45,0.359000,0.381000
,46,0.358000,0.382000
,47,0.359000,0.381000
,48,0.358000,0.381000
,49,0.359000,0.382000
,50,0.360000,0.382000

, , Average Time (s): 0.375320, Average Time (s): 0.386580
