Vector Size (2^28),Iteration,C Timing (s),Assembly Timing (s)
268435456,1,1.212000,0.389000
,2,1.217000,0.395000
,3,1.307000,0.388000
,4,1.255000,0.391000
,5,1.217000,0.391000
,6,1.268000,0.387000
,7,1.225000,0.389000
,8,1.201000,0.392000
,9,1.200000,0.393000
,10,1.201000,0.396000
,11,1.198000,0.396000
,12,1.202000,0.392000
,13,1.195000,0.388000
,14,1.239000,0.393000
,15,1.213000,0.388000
,16,1.199000,0.387000
,17,1.194000,0.388000
,18,1.206000,0.383000
,19,1.194000,0.388000
,20,1.192000,0.386000
,21,1.198000,0.384000
,22,1.339000,0.386000
,23,1.202000,0.425000
,24,1.232000,0.393000
,25,1.217000,0.403000
,26,1.196000,0.386000
,27,1.193000,0.387000
,28,1.207000,0.384000
,29,1.224000,0.384000
,30,1.262000,0.388000
,31,1.193000,0.384000
,32,1.191000,0.385000
,33,1.234000,0.384000
,34,1.191000,0.383000
,35,1.191000,0.390000
,36,1.192000,0.397000
,37,1.196000,0.385000
,38,1.191000,0.410000
,39,1.190000,0.385000
,40,1.195000,0.387000
,41,1.207000,0.383000
,42,1.205000,0.385000
,43,1.195000,0.387000
,44,1.198000,0.403000
,45,1.231000,0.388000
,46,1.220000,0.386000
,47,1.210000,0.383000
,48,1.198000,0.388000
,49,1.194000,0.395000
,50,1.205000,0.388000

, , Average Time (s): 1.212640, Average Time (s): 0.389920
